Liste des candidats,Nuance,Voix,% Inscrits,% Exprimés,Elu(e)
M. Thierry BENOIT,ENS,26968,29.75,41.81,QUALIF T2
M. Tangi MARION,RN,19960,22.02,30.94,QUALIF T2
Mme Elsa LAFAYE,UG,16209,17.88,25.13,QUALIF T2
M. Ludovic HUBERT,EXG,839,0.93,1.30,NON
M. Pascal THEVENET,DVC,402,0.44,0.62,NON
M. Gilliatt DE STAËRCK,DVG,131,0.14,0.20,NON
