Liste des candidats,Nuance,Voix,% Inscrits,% Exprimés,Elu(e)
M. Patrice MARTIN,RN,32233,29.50,44.90,QUALIF T2
M. Sébastien JUMEL,UG,24763,22.66,34.50,QUALIF T2
M. Stéphane ACCARD,LR,12916,11.82,17.99,NON
M. Olivier CLELAND,REC,1009,0.92,1.41,NON
M. Éric MOISAN,EXG,861,0.79,1.20,NON
