Liste des candidats,Nuance,Voix,% Inscrits,% Exprimés,Elu(e)
M. Benoît AUGUSTE,RN,28531,29.41,42.10,QUALIF T2
M. Yannick NEUDER,LR,18678,19.26,27.56,QUALIF T2
Mme Dominique DICHARD,UG,13427,13.84,19.81,QUALIF T2
Mme Helena CHESSER,ENS,6507,6.71,9.60,NON
M. Bruno PERRODIN,EXG,630,0.65,0.93,NON
