Liste des candidats,Nuance,Voix,% Inscrits,% Exprimés,Elu(e)
M. Alexandre DUFOSSET,RN,29404,32.38,52.51,OUI
M. Nicolas SIEGLER,DVD,18434,20.30,32.92,NON
M. Benoît MARECHAL,UG,7230,7.96,12.91,NON
Mme Nadine REYNAERT,EXG,930,1.02,1.66,NON
