Liste des candidats,Nuance,Voix,% Inscrits,% Exprimés,Elu(e)
M. Marc WOLFF,RN,25199,26.19,40.47,QUALIF T2
M. Vincent THIEBAUT,ENS,18206,18.92,29.24,QUALIF T2
M. Olivier TERRIEN,UG,9680,10.06,15.55,NON
M. Philippe PFRIMMER,DVD,5512,5.73,8.85,NON
M. Maurice GLUCK,REG,2583,2.68,4.15,NON
M. Robin GEROLT,REC,678,0.70,1.09,NON
M. Yann LUCAS,EXG,406,0.42,0.65,NON
