Liste des candidats,Nuance,Voix,% Inscrits,% Exprimés,Elu(e)
M. Sébastien CHENU,RN,27592,34.11,58.32,OUI
M. Cédric BRUN,UG,10337,12.78,21.85,NON
M. Franck WATELET,ENS,7136,8.82,15.08,NON
M. Djemi DRICI,DIV,1150,1.42,2.43,NON
Mme Cécile BOURLET,EXG,1098,1.36,2.32,NON
