Liste des candidats,Nuance,Voix,% Inscrits,% Exprimés,Elu(e)
Mme Anne-Marie THÈS,RN,22816,25.77,38.61,QUALIF T2
M. Yannick MONNET,UG,17043,19.25,28.84,QUALIF T2
M. Stephane LARZAT,ENS,8811,9.95,14.91,NON
Mme Alexandra BARDET,LR,7889,8.91,13.35,NON
M. Jean-Marie GUILLAUMIN,UDI,1303,1.47,2.20,NON
M. Jean-Marc COLLOT,EXG,636,0.72,1.08,NON
Mme Blandine AGEZ,REC,602,0.68,1.02,NON
