Liste des candidats,Nuance,Voix,% Inscrits,% Exprimés,Elu(e)
M. Stéphane PEU,UG,22055,38.77,71.80,OUI
M. Luc COLOMAS,RN,3628,6.38,11.81,NON
Mme Samantha UK,ENS,2282,4.01,7.43,NON
M. Anasse KAZIB,EXG,1128,1.98,3.67,NON
M. Louis-Auxile MAILLARD,LR,798,1.40,2.60,NON
Mme Agnès RENAUD,EXG,491,0.86,1.60,NON
Mme Maki Théa MARQUAND,ECO,334,0.59,1.09,NON
