Liste des candidats,Nuance,Voix,% Inscrits,% Exprimés,Elu(e)
M. Matthieu MARCHIO,RN,26608,31.66,53.12,OUI
M. Alain BRUNEEL,UG,14199,16.90,28.35,NON
M. François CRESTA,ENS,8135,9.68,16.24,NON
M. Éric PECQUEUR,EXG,1145,1.36,2.29,NON
