Liste des candidats,Nuance,Voix,% Inscrits,% Exprimés,Elu(e)
M. Jean-Luc YELMA,RN,18575,25.36,35.71,QUALIF T2
M. Jean-René CAZENEUVE,ENS,16072,21.94,30.90,QUALIF T2
M. Pascal LEVIEUX,UG,14129,19.29,27.17,QUALIF T2
M. Alexis BOUDAUD ANDUAGA,ECO,1375,1.88,2.64,NON
M. Ludovic LARRÉ,REG,959,1.31,1.84,NON
Mme Aurore CAZES,REC,587,0.80,1.13,NON
M. Jean-Louis CHARETON,EXG,296,0.40,0.57,NON
M. Adrien AYMES,REG,16,0.02,0.03,NON
