Liste des candidats,Nuance,Voix,% Inscrits,% Exprimés,Elu(e)
M. Carlos Martens BILONGO,UG,17386,31.18,58.27,OUI
M. Thierry FOUCHEREAU,RN,5840,10.47,19.57,NON
M. Ramzi ZINAOUI,UDI,3293,5.91,11.04,NON
M. Patrick ANGREVIER,DVD,1961,3.52,6.57,NON
Mme Luisa VARELA,REC,503,0.90,1.69,NON
Mme Malika KHERFI,DVC,451,0.81,1.51,NON
M. Rémi GAJDOS,EXG,404,0.72,1.35,NON
M. Jean-Baptiste TONDU,EXG,0,0.00,0.00,NON
