Liste des candidats,Nuance,Voix,% Inscrits,% Exprimés,Elu(e)
Mme Anna PIC,UG,19940,22.49,34.23,QUALIF T2
M. Nicolas CONQUER,UXD,17481,19.72,30.01,QUALIF T2
M. Yann LEPETIT,ENS,10417,11.75,17.88,NON
Mme Camille MARGUERITTE,DVD,8637,9.74,14.83,NON
M. Abdelkader BENRAMDANE,EXG,900,1.02,1.54,NON
M. Yann DA CRUZ-LEGELEUX,REC,884,1.00,1.52,NON
