Liste des candidats,Nuance,Voix,% Inscrits,% Exprimés,Elu(e)
M. Denis KIEFFER,RN,23071,26.78,41.47,QUALIF T2
M. Patrick HETZEL,LR,17974,20.87,32.31,QUALIF T2
M. Serge BLOCH,UG,6912,8.02,12.42,NON
M. Eric WOLFF,ENS,4734,5.50,8.51,NON
Mme Anastasie LEIPP,REG,1821,2.11,3.27,NON
M. Arthur WOLFF,REC,707,0.82,1.27,NON
M. Jean MEYER,EXG,414,0.48,0.74,NON
