Liste des candidats,Nuance,Voix,% Inscrits,% Exprimés,Elu(e)
M. Bastien LACHAUD,UG,25777,42.38,71.68,OUI
Mme Nathalie SACK,UDI,5014,8.24,13.94,NON
Mme Nacéra SALHAOUI,RN,4175,6.86,11.61,NON
Mme Nathalie ARTHAUD,EXG,996,1.64,2.77,NON
