Liste des candidats,Nuance,Voix,% Inscrits,% Exprimés,Elu(e)
M. Alexandre HUMBERT DUPALAIS,UXD,25371,25.88,36.81,QUALIF T2
M. Jean-Luc FUGIT,ENS,18564,18.94,26.93,QUALIF T2
M. Abdel YOUSFI,UG,15765,16.08,22.87,QUALIF T2
Mme Cindy FERRO,LR,6707,6.84,9.73,NON
Mme Sophie SPENNATO,ECO,1974,2.01,2.86,NON
Mme Isabelle BROWNING,EXG,550,0.56,0.80,NON
