Liste des candidats,Nuance,Voix,% Inscrits,% Exprimés,Elu(e)
Mme Anne STAMBACH-TERRENOIR,UG,30402,28.52,40.53,QUALIF T2
M. Jean-Luc LAGLEIZE,ENS,20934,19.64,27.91,QUALIF T2
M. Frank KHALIFA,RN,19815,18.59,26.41,QUALIF T2
Mme Pauline LORANS,REC,1366,1.28,1.82,NON
M. Maxime MAYORAL,ECO,1306,1.23,1.74,NON
M. Arthur NESTIER,ECO,606,0.57,0.81,NON
Mme Clotilde BARTHÉLÉMY,EXG,588,0.55,0.78,NON
