Liste des candidats,Nuance,Voix,% Inscrits,% Exprimés,Elu(e)
M. Mikaele SEO,ENS,4281,47.40,62.25,OUI
Mme Lavinia KANIMOA NÉE TAGANE,DVD,1248,13.82,18.15,NON
Mme Lauriane TIALETAGI EPOUSE VERGE,DVC,1028,11.38,14.95,NON
M. Otilone TOKOTUU,DVD,320,3.54,4.65,NON
