Liste des candidats,Nuance,Voix,% Inscrits,% Exprimés,Elu(e)
M. Auguste EVRARD,RN,27164,29.40,46.45,QUALIF T2
M. Bertrand PETIT,UG,18697,20.24,31.97,QUALIF T2
M. Benoît POTTERIE,ENS,9824,10.63,16.80,NON
M. Hervé RUFFIN,EXG,1199,1.30,2.05,NON
M. Alain ATASSI,DIV,984,1.07,1.68,NON
M. Jérémie WEBER,REC,617,0.67,1.05,NON
