Liste des candidats,Nuance,Voix,% Inscrits,% Exprimés,Elu(e)
M. Moerani FREBAULT,DVD,18456,25.02,53.85,OUI
M. Tematai LE GAYIC,REG,12243,16.59,35.72,NON
M. James HEAUX,RN,2168,2.94,6.33,NON
M. Jacky BRYANT,ECO,1404,1.90,4.10,NON
