Liste des candidats,Nuance,Voix,% Inscrits,% Exprimés,Elu(e)
M. Bruno BILDE,RN,33944,35.07,59.24,OUI
M. Alain BAVAY,UG,12059,12.46,21.04,NON
M. Steve BOSSART,DVC,10178,10.52,17.76,NON
M. Régis SCHEENAERTS,EXG,1121,1.16,1.96,NON
