Liste des candidats,Nuance,Voix,% Inscrits,% Exprimés,Elu(e)
M. Bastian DUENAS,RN,17246,25.19,40.56,QUALIF T2
M. Nicolas SANSU,UG,12621,18.43,29.68,QUALIF T2
M. Gabriel BEHAGHEL,ENS,8857,12.93,20.83,QUALIF T2
M. Philippe BULTEAU,DVD,2705,3.95,6.36,NON
M. Régis ROBIN,EXG,580,0.85,1.36,NON
M. Ludovic JAULIN,REC,508,0.74,1.19,NON
