Liste des candidats,Nuance,Voix,% Inscrits,% Exprimés,Elu(e)
M. Philippe BALLARD,RN,30823,34.51,53.20,OUI
M. Ludovic CASTANIÉ,LR,12339,13.82,21.30,NON
Mme Marianne SECK,UG,10772,12.06,18.59,NON
M. Mohamed EL AIYATE,ECO,2144,2.40,3.70,NON
M. Pierre DELARBOULAS,REC,1225,1.37,2.11,NON
Mme Renée POTCHTOVIK,EXG,630,0.71,1.09,NON
